product_name,product_link,shop_name,shop_link,price,est_mo_sales,est_mo_revenue,est_total_sales,reviews,listing_age,favorites,avg_reviews,views,category,description_character_count,shop_age,visibility_score,conversion_rate,total_shop_sales,tags,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6,tag_7,tag_8,tag_9,tag_10,tag_11,tag_12,tag_13,image_path
"Wooden Washer and Dryer Top, Laundry Organization,  Laundry Room Countertop, Washer and Dryer Wood Table Top, Laundry Furniture, Laundry Top",https://www.etsy.com/listing/1471195988/wooden-washer-and-dryer-top-laundry,ByChelseaNicole,https://www.etsy.com/shop/ByChelseaNicole,400,678,271200,10914,451,16 Mo.,34,28,8211,Home & Living,,58,100,132.92,120009,"dryer wood table top,washer wood topper,laundry wood topper,laundry table top,laundry room table,laundry room tray,laundry room cover,appliance cover,washer cover,laundry organization,wood table top,washer and dryer,Gift",dryer wood table top,washer wood topper,laundry wood topper,laundry table top,laundry room table,laundry room tray,laundry room cover,appliance cover,washer cover,laundry organization,wood table top,washer and dryer,Gift,../data/images/Wooden_Washer_and_Dryer_Top__Laundry_Organization_.png
The Complete Nursing School Bundle® | 2025 Edition | Spiral Bound,https://www.etsy.com/listing/798029662/the-complete-nursing-school-bundle-o,NurseInTheMaking,https://www.etsy.com/shop/NurseInTheMaking,128,1385,177280,72240,9703,52 Mo.,57504,186,4520829,"Books, Movies & Music",,64,100,1.6,224202,"nursing student,Nursing note,Nursing school,Nursing study guide,headtotoe assessment,Nursing medsurg,Nursingschool bundle,Nursing cheat sheet,Fundamentals nursing,RNExplained,Nurseinthemaking,Nurseinthemake,rnexplaine",nursing student,Nursing note,Nursing school,Nursing study guide,headtotoe assessment,Nursing medsurg,Nursingschool bundle,Nursing cheat sheet,Fundamentals nursing,RNExplained,Nurseinthemaking,Nurseinthemake,rnexplaine,../data/images/The_Complete_Nursing_School_Bundle____2025_Edition.png
"Personalized Name Necklace, Name Logo Necklace,  Gift for Her,  Personalized Gift, One of a kind Gift, Gold Name Necklace, Gifts for mom",https://www.etsy.com/listing/1097017861/personalized-name-necklace-name-logo,RobertoGoldDiamond,https://www.etsy.com/shop/RobertoGoldDiamond,120,1251,150120,43822,10512,35 Mo.,60955,300,1555673,Jewelry,,85,100,2.82,107029,"gold name necklace,unique birthday gift,personalized gift,necklace with name,necklace for women,gift for mom,gifts for her,gifts for wife,personalized jewelry,minimalist,jewelry gift,Mothers day gift,handmade jewelry",gold name necklace,unique birthday gift,personalized gift,necklace with name,necklace for women,gift for mom,gifts for her,gifts for wife,personalized jewelry,minimalist,jewelry gift,Mothers day gift,handmade jewelry,../data/images/Personalized_Name_Necklace__Name_Logo_Necklace___G.png
"Marble Wood Charcuterie Board, Wedding Gift, Gift for Couple, Anniversary Gift, Housewarming Gift, Engagement Gift, Bridal Shower Gift",https://www.etsy.com/listing/1283162551/marble-wood-charcuterie-board-wedding,EngraveMyMemories,https://www.etsy.com/shop/EngraveMyMemories,125,716,148217,8075,1539,25 Mo.,10504,61,306462,Home & Living,,123,100,2.63,261057,"New home gift,closing gift,realtor gift,marble wood board,charcuterie board,gift for couple,wedding gift,anniversary gift,housewarming gift,engagement gift,bridal shower gift,bride and groom gift,serving tray",New home gift,closing gift,realtor gift,marble wood board,charcuterie board,gift for couple,wedding gift,anniversary gift,housewarming gift,engagement gift,bridal shower gift,bride and groom gift,serving tray,../data/images/Marble_Wood_Charcuterie_Board__Wedding_Gift__Gift_.png
Madam President - Kamala Harris (and Tim!) 2024 - Yard Sign,https://www.etsy.com/listing/1774368557/madam-president-kamala-harris-and-tim,colinharman,https://www.etsy.com/shop/colinharman,28,4187,117236,4187,415,1 Mo.,3143,415,112212,Paper & Party Supplies,,19,100,3.73,11754,"Kamala Harris 2024,Kamala Harris barbie,Kamala barbie,Madam president,President harris,Yard sign,kamala harris sign,vote outdoor signs,election yard signs,Tim walz,Harris walz 2024,Harris 2024 yard,Kamala yard sign",Kamala Harris 2024,Kamala Harris barbie,Kamala barbie,Madam president,President harris,Yard sign,kamala harris sign,vote outdoor signs,election yard signs,Tim walz,Harris walz 2024,Harris 2024 yard,Kamala yard sign,../data/images/Madam_President___Kamala_Harris__and_Tim___2024___.png
"Personalized Mama Sweatshirt with Kid Names on Sleeve, Mothers Day Gift, Birthday Gift for Mom, New Mom Gift, Minimalist Cool Mom Sweater",https://www.etsy.com/listing/1559697371/personalized-mama-sweatshirt-with-kid,LoveSuna,https://www.etsy.com/shop/LoveSuna,40,2913,116374,34992,6858,12 Mo.,44504,571,1245107,Clothing,,53,100,2.81,205344,"Mama Sweatshirt,Gift for Mom,Mothers Day Gift,New Mom Gift,First Mothers Day,Baby Shower Gift,Cool Mom Sweater,Mom Kids Name Sleeve,Mama Shirt,Gift for Her,New Mom Gifts,Mama Crewneck,Anniversary Gift",Mama Sweatshirt,Gift for Mom,Mothers Day Gift,New Mom Gift,First Mothers Day,Baby Shower Gift,Cool Mom Sweater,Mom Kids Name Sleeve,Mama Shirt,Gift for Her,New Mom Gifts,Mama Crewneck,Anniversary Gift,../data/images/Personalized_Mama_Sweatshirt_with_Kid_Names_on_Sle.png
"Personalized Hand embroidered Name Baby Sweater,Custome Baby Name Sweater,Pink Baby Girls Sweater With Name,Birthday Gift For Baby Girls Boy",https://www.etsy.com/listing/1606106909/personalized-hand-embroidered-name-baby,MillionDesignArt,https://www.etsy.com/shop/MillionDesignArt,59,1855,109408,18554,3280,10 Mo.,18653,328,678398,Clothing,,15,100,2.73,37929,"name sweater baby,Baby Name Sweater,Baby Sweater,custom baby sweater,Toddler Sweater,Baby Girl Sweater,Baby Boy Sweater,Knitted Baby Sweater,Baby Name pullover,baby knit sweater,Baby Gift,Gifts for Daughters,custome baby gift",name sweater baby,Baby Name Sweater,Baby Sweater,custom baby sweater,Toddler Sweater,Baby Girl Sweater,Baby Boy Sweater,Knitted Baby Sweater,Baby Name pullover,baby knit sweater,Baby Gift,Gifts for Daughters,custome baby gift,../data/images/Personalized_Hand_embroidered_Name_Baby_Sweater_Cu.png
"Large wood name sign, nursery name sign, girl name sign, above crib name sign, layered baby name sign, boy name sign, cut out sign",https://www.etsy.com/listing/1172278157/large-wood-name-sign-nursery-name-sign,TwoAvocadosSigns,https://www.etsy.com/shop/TwoAvocadosSigns,160,653,104480,20246,5952,31 Mo.,41781,192,1342785,Home & Living,,77,100,1.51,89552,"wood name sign,large name sign,layered name sign,cut out name sign,boho name sign,nursery name sign,baby name sign,outlined name sign,boho nursery,girl name sign,boy name sign,above crib sign,house of rounds",wood name sign,large name sign,layered name sign,cut out name sign,boho name sign,nursery name sign,baby name sign,outlined name sign,boho nursery,girl name sign,boy name sign,above crib sign,house of rounds,../data/images/Large_wood_name_sign__nursery_name_sign__girl_name.png
Personalized Name Necklace by CaitlynMinimalist • Gold Name Necklace with Box Chain • Perfect Gift for Her • Personalized Gift • NM81F91,https://www.etsy.com/listing/990762977/personalized-name-necklace-by,CaitlynMinimalist,https://www.etsy.com/shop/CaitlynMinimalist,42,2478,104076,104153,21520,42 Mo.,120658,512,4353863,Jewelry,,118,100,2.39,3116334,"GIFTS FOR HER,NAME NECKLACE,SILVER NAME NECKLACE,PERSONALIZED JEWELRY,MINIMALIST NECKLACE,DAINTY NAME NECKLACE,PERSONALIZED GIFT,CUSTOM NAME NECKLACE,CAITLYN MINIMALIST,GOLD NAME NECKLACE,BOX CHAIN,BOX CHAIN NECKLACE,GIFTS FOR MOM",GIFTS FOR HER,NAME NECKLACE,SILVER NAME NECKLACE,PERSONALIZED JEWELRY,MINIMALIST NECKLACE,DAINTY NAME NECKLACE,PERSONALIZED GIFT,CUSTOM NAME NECKLACE,CAITLYN MINIMALIST,GOLD NAME NECKLACE,BOX CHAIN,BOX CHAIN NECKLACE,GIFTS FOR MOM,../data/images/Personalized_Name_Necklace_by_CaitlynMinimalist___.png
"Personalized Signature Necklace, Custom Name Necklace, Signature Name Necklace, Dainty Name Jewelry, Gift For Her, Mother Day Gift",https://www.etsy.com/listing/1174969404/personalized-signature-necklace-custom,HandmadeDaintyUS,https://www.etsy.com/shop/HandmadeDaintyUS,47,2140,101008,64235,12424,30 Mo.,57699,414,1723806,Jewelry,,34,100,3.73,128724,"name neckace,gold name necklace,silver name necklace,dainty name necklace,custom name necklace,gift for her,mother gift,namepalte necklace,signature necklace,mini name necklace,baby name necklace,uniqu name necklace,Mother Day Gift",name neckace,gold name necklace,silver name necklace,dainty name necklace,custom name necklace,gift for her,mother gift,namepalte necklace,signature necklace,mini name necklace,baby name necklace,uniqu name necklace,Mother Day Gift,../data/images/Personalized_Signature_Necklace__Custom_Name_Neckl.png
"Wooden World Map Enjoy The Wood, Home Decor, World Map Wall Art, 5th Anniversary Gift For Girlfriend, Housewarming Gift, Living Room Decor",https://www.etsy.com/listing/810756001/wooden-world-map-enjoy-the-wood-home,EnjoyTheWood,https://www.etsy.com/shop/EnjoyTheWood,148,171,98989,3408,538,52 Mo.,11248,10,549773,Home & Living,,118,100,0.62,108207,"world map wall art,home decor,Enjoy The Wood,weltkarte holz,housewarming gift,apartment decor,Map To Mark Travels,gift for the home,wall decor,3d world map,push pin travel map,wooden world map,wood anniversary",world map wall art,home decor,Enjoy The Wood,weltkarte holz,housewarming gift,apartment decor,Map To Mark Travels,gift for the home,wall decor,3d world map,push pin travel map,wooden world map,wood anniversary,../data/images/Wooden_World_Map_Enjoy_The_Wood__Home_Decor__World.png
"x10 Custom Wish Spell, MAKE A WISH! Wish Spell Casting, Unique Wishes Spell Same Day, Make a Wish Spell, Custom Wish Spell Wish Ritual",https://www.etsy.com/listing/1707983085/x10-custom-wish-spell-make-a-wish-wish,BlissfulByVardus,https://www.etsy.com/shop/BlissfulByVardus,7300,13,94904,77,23,5 Mo.,9,4,926,Home & Living,,6,54,8.32,727,"wish spell,make a wish spell,custom wish spell,wish,spell,strong spell,white spell,black spell,powerful wish spell,money spell,lotery spell,love spell,sex spell",wish spell,make a wish spell,custom wish spell,wish,spell,strong spell,white spell,black spell,powerful wish spell,money spell,lotery spell,love spell,sex spell,../data/images/x10_Custom_Wish_Spell__MAKE_A_WISH__Wish_Spell_Cas.png
"Custom Name Necklace, 18K Gold Plated Name Necklace, Personalsed Name Necklace, Birthday Gift for Her, Mother&#39;s Day Gift, Gift for Mom",https://www.etsy.com/listing/1413455244/custom-name-necklace-18k-gold-plated,AnyaShopStudio,https://www.etsy.com/shop/AnyaShopStudio,26,3413,90035,64912,12820,19 Mo.,53304,674,2448209,Jewelry,,31,100,2.65,149166,"Necklace,Name Necklace,Custom necklace,Gold Name necklace,Gift for her,Birthday Gift,18K Gold Name necklace,Gift for Mom,Mothers Necklace,Gift for Kids,Personalized Jewelry,Mothers Day gift,Valentines gift",Necklace,Name Necklace,Custom necklace,Gold Name necklace,Gift for her,Birthday Gift,18K Gold Name necklace,Gift for Mom,Mothers Necklace,Gift for Kids,Personalized Jewelry,Mothers Day gift,Valentines gift,../data/images/Custom_Name_Necklace__18K_Gold_Plated_Name_Necklac.png
ATEEZ MITO Crochet Lightiny Cover | Handmade K-Pop Lightstick Cover | Atiny Fan Merch,https://www.etsy.com/listing/1691433240/ateez-mito-crochet-lightiny-cover,StitchPopStudios,https://www.etsy.com/shop/StitchPopStudios,29500,3,88500,27,8,6 Mo.,43,1,783,Toys & Games,,31,42,3.45,527,"kpop,ateez,atiny,mingi,yunho,yeosang,san,wooyoung,seonghwa,hongjoong,jongho,mito,lightiny",kpop,ateez,atiny,mingi,yunho,yeosang,san,wooyoung,seonghwa,hongjoong,jongho,mito,lightiny,../data/images/ATEEZ_MITO_Crochet_Lightiny_Cover___Handmade_K_Pop.png
"Personalized Cutting Board Wedding Gift, Bamboo Charcuterie Board, Unique Christmas Gift, Bridal Shower, Engraved Engagement Present,",https://www.etsy.com/listing/1167562350/personalized-cutting-board-wedding-gift,GiftsToEngrave,https://www.etsy.com/shop/GiftsToEngrave,40,2206,88152,68431,20507,31 Mo.,33016,661,1700236,Weddings,,31,100,4.02,86317,"Cutting Board,Wedding Gift,Housewarming Gift,Engagement Gift,Bridal Shower Gift,Charcuterie Board,Couple Gift,bridesmaid gifts,anniversary gifts,Personalized Gifts,Custom Cutting Board,engagement gifts,christmas gift",Cutting Board,Wedding Gift,Housewarming Gift,Engagement Gift,Bridal Shower Gift,Charcuterie Board,Couple Gift,bridesmaid gifts,anniversary gifts,Personalized Gifts,Custom Cutting Board,engagement gifts,christmas gift,../data/images/Personalized_Cutting_Board_Wedding_Gift__Bamboo_Ch.png
Bespoke Baby jumper: Hand-Embroidered Name & Monogram - A Treasured Gift from Auntie to Your Little One,https://www.etsy.com/listing/1607684653/bespoke-baby-jumper-hand-embroidered,PocketWargen,https://www.etsy.com/shop/PocketWargen,93,952,88108,9562,1487,10 Mo.,10655,148,349212,Clothing,,10,100,2.74,13632,"Kids Knits,Kid Comfort Knits,Baby Bundles,Junior Chic Sweaters,Children's Knitwear,Petite Warmers,Little Tops,Infant Woolens,Toddler Cozies,Junior Jumpers,Baby Cardis,Tiny Sweaters,Youth Pullovers",Kids Knits,Kid Comfort Knits,Baby Bundles,Junior Chic Sweaters,Children's Knitwear,Petite Warmers,Little Tops,Infant Woolens,Toddler Cozies,Junior Jumpers,Baby Cardis,Tiny Sweaters,Youth Pullovers,../data/images/Bespoke_Baby_jumper__Hand_Embroidered_Name___Monog.png
Handmade Damascus Pocket Knife Rose Wood Handle Birthday Gift Folding Knife Groomsmen Gift Anniversary Wedding Personalized Gift for Men,https://www.etsy.com/listing/1023790802/handmade-damascus-pocket-knife-rose-wood,OrkloKnife,https://www.etsy.com/shop/OrkloKnife,99,866,85734,33803,9838,39 Mo.,41242,252,1319094,Toys & Games,,45,100,2.56,58635,"Handmade knife,folding knife,Pocket knife,Birthday gift,Groomsman gift,Gift for him,Gift for husband,damascus knife,wedding gift,Personalized Gift,Boyfriend Gift,thanksgiving gift",Handmade knife,folding knife,Pocket knife,Birthday gift,Groomsman gift,Gift for him,Gift for husband,damascus knife,wedding gift,Personalized Gift,Boyfriend Gift,thanksgiving gift,--,../data/images/Handmade_Damascus_Pocket_Knife_Rose_Wood_Handle_Bi.png
Harris Walz embroidered Camo Hat Camouflage Caps Kamala & Tim 2024 campaign Caps Harris Walz DNC Rally Hat Coach Tim Walz for Vice President,https://www.etsy.com/listing/1763254974/harris-walz-embroidered-camo-hat,PremiumKoalaTee,https://www.etsy.com/shop/PremiumKoalaTee,35,2336,81643,2336,327,1 Mo.,782,327,30430,Accessories,,127,100,7.68,58475,"Kamala Harris,Vote for Kamala,Kamala and Joe Hat,Democratic Party,Madam President,Presidential,Campaign hats,Christmas,Vote blue 2024,Tim Walz VP,Let's Win This,Harris Walz 2024,Coach Tim Walz",Kamala Harris,Vote for Kamala,Kamala and Joe Hat,Democratic Party,Madam President,Presidential,Campaign hats,Christmas,Vote blue 2024,Tim Walz VP,Let's Win This,Harris Walz 2024,Coach Tim Walz,../data/images/Harris_Walz_embroidered_Camo_Hat_Camouflage_Caps_K.png
Custom Wood Sign | Personalized Family Name Sign | Last Name Pallet Sign | Wedding Gift | Home Wall Decor | Anniversary Gift,https://www.etsy.com/listing/963147161/custom-wood-sign-personalized-family,FalkelDesign,https://www.etsy.com/shop/FalkelDesign,77,1027,79079,44200,10844,43 Mo.,116765,252,2549560,Home & Living,,59,100,1.73,63601,"wood sign,Family Name Sign,Last Name Sign,Custom Wood Sign,Personalized Sign,Home Decor,Wall Decor,Wedding Gift,Anniversary Gift,Wooden Sign,welcome sign,Personalized Gifts,housewarming gift",wood sign,Family Name Sign,Last Name Sign,Custom Wood Sign,Personalized Sign,Home Decor,Wall Decor,Wedding Gift,Anniversary Gift,Wooden Sign,welcome sign,Personalized Gifts,housewarming gift,../data/images/Custom_Wood_Sign___Personalized_Family_Name_Sign__.png
"Wood Name Sign, Wooden Name Sign, Nursery Name Sign, Family Name Sign, Baby Name Sign, fast shipping Girl Boy Crib Name Sign Metal Sign Gift",https://www.etsy.com/listing/1765575661/wood-name-sign-wooden-name-sign-nursery,ByChelseaNicole,https://www.etsy.com/shop/ByChelseaNicole,33,2323,77472,4671,193,2 Mo.,6,96,764,Home & Living,,58,93,611.39,120009,"girl boy name sign,custom name sign,name sign,nursery name sign,script wood sign,personalized sign,wooden name sign,baby name sign,custom sign cut out,wall decor,backdrop name sign,wedding name sign,fast shipping",girl boy name sign,custom name sign,name sign,nursery name sign,script wood sign,personalized sign,wooden name sign,baby name sign,custom sign cut out,wall decor,backdrop name sign,wedding name sign,fast shipping,../data/images/Wood_Name_Sign__Wooden_Name_Sign__Nursery_Name_Sig.png
Personalized Baby Sweater with Hand-Embroidered Name & Monogram - A Precious Gift from Aunt for a Baby Girl-Christmas gift,https://www.etsy.com/listing/1595469530/personalized-baby-sweater-with-hand,NkomoReport,https://www.etsy.com/shop/NkomoReport,91,844,76939,8502,1229,10 Mo.,10709,122,338961,Clothing,,13,100,2.51,16858,"Trendy Knit Chic,Cozy Kid's Wear,Pullovers,Kid's Unique Garb,Infant's Wardrobe,Custom Creations,Baby's Cozy Knits,Tiny Fashion,Monogrammed Comfort,Personalized Warmth,Hand-Knit Styles,Kids' Chic Tops,Child's Knits",Trendy Knit Chic,Cozy Kid's Wear,Pullovers,Kid's Unique Garb,Infant's Wardrobe,Custom Creations,Baby's Cozy Knits,Tiny Fashion,Monogrammed Comfort,Personalized Warmth,Hand-Knit Styles,Kids' Chic Tops,Child's Knits,../data/images/Personalized_Baby_Sweater_with_Hand_Embroidered_Na.png
"Personalized Wooden Train Music Box, Keepsake Gift for Kids, Baby Christmas Gift, Baby Shower Gift, Newborn Gifts, Engraved Name Music Box",https://www.etsy.com/listing/1595727060/personalized-wooden-train-music-box,BeWellGroup,https://www.etsy.com/shop/BeWellGroup,70,1065,74529,10690,1004,10 Mo.,15958,100,366321,Art & Collectibles,,53,100,2.92,613418,"Horse Music Box,Baby Shower Gift,birthday gift,Engraved Music Box,Ballerina music box,holiday gifts,gift for kids,Custom Newborn Gift,Christmas Gift,Baby Christmas,Kids Christmas gifts,Music Box,Mom Christmas Gift",Horse Music Box,Baby Shower Gift,birthday gift,Engraved Music Box,Ballerina music box,holiday gifts,gift for kids,Custom Newborn Gift,Christmas Gift,Baby Christmas,Kids Christmas gifts,Music Box,Mom Christmas Gift,../data/images/Personalized_Wooden_Train_Music_Box__Keepsake_Gift.png
Handmade Damascus Pocket Knife Olive Wood Handle Birthday Gift Folding Knife Groomsmen Gift Anniversary Wedding Personalized Gift for Men,https://www.etsy.com/listing/1681230610/handmade-damascus-pocket-knife-olive,OrkloKnife,https://www.etsy.com/shop/OrkloKnife,125,591,73875,3553,1034,6 Mo.,7622,172,198980,Toys & Games,,45,100,1.79,58635,"Handmade knife,folding knife,Pocket knife,Birthday gift,Groomsman gift,Gift for him,Gift for husband,damascus knife,wedding gift,Personalized Gift,Boyfriend Gift,Gift for dad,3rd anniversary",Handmade knife,folding knife,Pocket knife,Birthday gift,Groomsman gift,Gift for him,Gift for husband,damascus knife,wedding gift,Personalized Gift,Boyfriend Gift,Gift for dad,3rd anniversary,../data/images/Handmade_Damascus_Pocket_Knife_Olive_Wood_Handle_B.png
"Personalized Name Necklaces, Personalized Names Necklace, Script Name Necklaces, Mothers Day Gift, Gift for Her, Sterling Silver Necklace",https://www.etsy.com/listing/972501694/personalized-name-necklaces-personalized,NisPersonalized,https://www.etsy.com/shop/NisPersonalized,29,2536,73544,106624,23330,42 Mo.,68343,555,3196277,Jewelry,,42,100,3.34,123808,"Personalized Jewelry,Mama Name Necklace,Personalized Gifts,Silver Name Necklace,Nameplate Pendant,Name Necklaces,Custom Name Necklace,Gold Name Necklace,Dainty Name Necklace,Gift for Her,Script Name Necklace,Mothers Day Gift,Sterling Silver",Personalized Jewelry,Mama Name Necklace,Personalized Gifts,Silver Name Necklace,Nameplate Pendant,Name Necklaces,Custom Name Necklace,Gold Name Necklace,Dainty Name Necklace,Gift for Her,Script Name Necklace,Mothers Day Gift,Sterling Silver,../data/images/Personalized_Name_Necklaces__Personalized_Names_Ne.png
"Rustic Personalized Wedding Cake Topper, Custom Script Cake Topper for Wedding, Mr and Mrs Cake Toppers",https://www.etsy.com/listing/1498101980/rustic-personalized-wedding-cake-topper,TheLocalKrafter,https://www.etsy.com/shop/TheLocalKrafter,28,1877,72611,14845,3124,15 Mo.,12292,208,266140,Weddings,,21,100,5.58,40453,"wedding cake topper,personalized cake,custom cake topper,rustic cake topper,gold cake topper,anniversary cake,toppers for wedding,name cake topper,Mr and Mrs cake,boho cake topper,last name topper,gold caketopper,couple cake topper",wedding cake topper,personalized cake,custom cake topper,rustic cake topper,gold cake topper,anniversary cake,toppers for wedding,name cake topper,Mr and Mrs cake,boho cake topper,last name topper,gold caketopper,couple cake topper,../data/images/Rustic_Personalized_Wedding_Cake_Topper__Custom_Sc.png
"Custom Girlfriend Shirt, Boyfriend Shirt, Photo Husband, Wife Shirt, Bachelorette Surprise, Personalized Birthday Bootleg Gift, Custom Shirt",https://www.etsy.com/listing/1654413237/custom-girlfriend-shirt-boyfriend-shirt,PersonalizedbyQueen,https://www.etsy.com/shop/PersonalizedbyQueen,28,2621,72418,20965,4040,8 Mo.,15684,505,748007,Clothing,,65,100,2.8,57041,"change design here,custom birthday tee,custom image shirt,custom photo shirt,custom picture shirt,fathers day gift,fiance shirt gifts,first mothers day,personalized photo,shirt with gf face,wife face shirt,shirt for boyfriend,anniversary gift",change design here,custom birthday tee,custom image shirt,custom photo shirt,custom picture shirt,fathers day gift,fiance shirt gifts,first mothers day,personalized photo,shirt with gf face,wife face shirt,shirt for boyfriend,anniversary gift,../data/images/Custom_Girlfriend_Shirt__Boyfriend_Shirt__Photo_Hu.png
"Algebraic Wooden Name Puzzle, Preschool Puzzle Toys for Girls, Personalized Name and Number Puzzle, Educational Puzzle for Learning Shapes",https://www.etsy.com/listing/1405059786/algebraic-wooden-name-puzzle-preschool,Tyucustomgifts,https://www.etsy.com/shop/Tyucustomgifts,104,678,70505,12906,2209,19 Mo.,16946,116,500322,Toys & Games,,87,100,2.59,147144,"name puzzle,name puzzle toddler,child name puzzle,wooden name puzzle,3 year old girl gift,child wooden toy,wood name puzzle,personalized baby,new baby gift,baby shower gift,baby boy gift,custom child gift,customs children",name puzzle,name puzzle toddler,child name puzzle,wooden name puzzle,3 year old girl gift,child wooden toy,wood name puzzle,personalized baby,new baby gift,baby shower gift,baby boy gift,custom child gift,customs children,../data/images/Algebraic_Wooden_Name_Puzzle__Preschool_Puzzle_Toy.png
"Charcuterie Board Personalized Cheese Cutting Board Wedding Gift for Couples, Anniversary Gift Housewarming Gift New Home Kitchen Decor Gift",https://www.etsy.com/listing/1567221560/charcuterie-board-personalized-cheese,TamaraWoodArts,https://www.etsy.com/shop/TamaraWoodArts,124,541,67084,5985,1371,11 Mo.,7326,124,233690,Home & Living,,11,100,2.56,12140,"Charcuterie board,Personalize gift,Wedding gift,Cheese board,Gift for the home,Housewarming gift,Couple gifts,Wine gifts for her,Anniversary gifts,Home decor ideas,gift for mom,Birthday Gift,mothers day gift",Charcuterie board,Personalize gift,Wedding gift,Cheese board,Gift for the home,Housewarming gift,Couple gifts,Wine gifts for her,Anniversary gifts,Home decor ideas,gift for mom,Birthday Gift,mothers day gift,../data/images/Charcuterie_Board_Personalized_Cheese_Cutting_Boar.png
"Multi-Name Family Necklace, Multiple Nameplated Necklace, Personalized Multiple Name Necklace, Necklace for Family Names, Gift For Her",https://www.etsy.com/listing/1648938834/multi-name-family-necklace-multiple,HandmadeDaintyUS,https://www.etsy.com/shop/HandmadeDaintyUS,56,1194,66625,9566,1850,8 Mo.,8595,231,294411,Jewelry,,34,100,3.25,128724,"family name necklace,nameplated necklace,multiple necklace,personalized gift,gold name necklace,Family jewelry,Customized names,Mom's necklace,Multi-name pendant,christmas gift,custom name necklace,gold plated necklace,gift for her",family name necklace,nameplated necklace,multiple necklace,personalized gift,gold name necklace,Family jewelry,Customized names,Mom's necklace,Multi-name pendant,christmas gift,custom name necklace,gold plated necklace,gift for her,../data/images/Multi_Name_Family_Necklace__Multiple_Nameplated_Ne.png
"Custom Comfort Colors Dog TShirt, Retro Dog Shirt, Personalized Pet Shirt, 90s shirt, Women Tee",https://www.etsy.com/listing/1549746149/custom-comfort-colors-dog-tshirt-retro,SChousebyDaniel,https://www.etsy.com/shop/SChousebyDaniel,36,1789,65281,23251,6110,13 Mo.,39532,470,812042,Clothing,,49,100,2.86,28891,"comfort colors,cat shirt,dog mom,Pet Gifts,pet portrait,dog memorial gifts,gift for her,custom shirt,personalized tee,dog drawing,dog remembrance gift",comfort colors,cat shirt,dog mom,Pet Gifts,pet portrait,dog memorial gifts,gift for her,custom shirt,personalized tee,dog drawing,dog remembrance gift,--,--,../data/images/Custom_Comfort_Colors_Dog_TShirt__Retro_Dog_Shirt_.png
"Personalized Custom Blanket, Baby Girl Blanket, Name Blanket, Girl Blanket Gift, Baby Blanket, Kids Blanket, Personalized Gift, Custom Gift",https://www.etsy.com/listing/1539519398/personalized-custom-blanket-baby-girl,TheLLCo,https://www.etsy.com/shop/TheLLCo,27,2425,64456,31548,6322,13 Mo.,10788,486,815110,Home & Living,,50,100,3.87,179873,"under 30,baby blanket,custom blanket,name blanket,girl gift,baby shower gift,baby gift,personalized blanket,rainbow pink name,toddler gift,baby girl blanket,pink blanket,purple blanket",under 30,baby blanket,custom blanket,name blanket,girl gift,baby shower gift,baby gift,personalized blanket,rainbow pink name,toddler gift,baby girl blanket,pink blanket,purple blanket,../data/images/Personalized_Custom_Blanket__Baby_Girl_Blanket__Na.png
Family name neon sign |  neon name sign | wedding backdrop | wedding decor |  last name neon sign |  neon wedding sign |  custom neon sign,https://www.etsy.com/listing/1112947158/family-name-neon-sign-neon-name-sign,HouseOfRounds,https://www.etsy.com/shop/HouseOfRounds,180,356,64080,12238,2786,34 Mo.,9862,81,602928,Home & Living,,66,100,2.03,270197,"home decor,name sign,wood signs,wedding sign,wedding decor,laser cut name,family name sign,wedding backdrop,last name sign,grass wall decor,wedding neon sign,custom neon sign,neon sign",home decor,name sign,wood signs,wedding sign,wedding decor,laser cut name,family name sign,wedding backdrop,last name sign,grass wall decor,wedding neon sign,custom neon sign,neon sign,../data/images/Family_name_neon_sign____neon_name_sign___wedding_.png
The Complete Nursing School Flashcard Pack,https://www.etsy.com/listing/1055072151/the-complete-nursing-school-flashcard,NurseInTheMaking,https://www.etsy.com/shop/NurseInTheMaking,383,164,62812,6395,859,38 Mo.,8563,22,557578,"Books, Movies & Music",,64,100,1.15,224202,,--,--,--,--,--,--,--,--,--,--,--,--,--,../data/images/The_Complete_Nursing_School_Flashcard_Pack.png
"Personalized travel jewelry box, small square earring organizer, bridesmaid gifts box for sister, friend",https://www.etsy.com/listing/1518307138/personalized-travel-jewelry-box-small,EnchVows,https://www.etsy.com/shop/EnchVows,20,3109,62025,43589,4402,14 Mo.,24149,314,749671,Jewelry,,18,100,5.81,56877,"gifts for her,holiday gift,bridemaid gift box,personalized jewelry,Jewelry box,Jewelry Storage,jewelry organizer,Personalised jewelry,Jewelry case,earring bag,name jewellery box,birthday gift",gifts for her,holiday gift,bridemaid gift box,personalized jewelry,Jewelry box,Jewelry Storage,jewelry organizer,Personalised jewelry,Jewelry case,earring bag,name jewellery box,birthday gift,--,../data/images/Personalized_travel_jewelry_box__small_square_earr.png
